공시연도,자료연도,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,제외인정자,취업률_계산분모,취업률(%),취업률_원자료_평균,취업률_원자료차이(%p),진학률(%),유지취업률_평균,원자료_행수
2023,2022,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,318,203,13,1,0,0,14,290,70.0,70.0,0.0,4.09,80.73,1
2024,2023,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,251,142,16,3,0,0,9,223,63.68,63.7,0.02,6.37,82.64,1
2025,2024,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,235,141,12,0,0,0,10,213,66.2,66.2,0.0,5.11,85.22,1
2023,2022,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5295,2740,566,46,5,149,23,4506,60.81,60.8,0.01,10.69,89.52,1
2024,2023,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4738,2411,574,34,2,97,19,4012,60.09,60.1,0.01,12.11,86.48,1
2025,2024,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4783,2255,689,69,1,122,2,3900,57.82,57.8,0.02,14.41,88.38,1
2023,2022,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,3270,1538,321,26,0,34,23,2866,53.66,53.7,0.04,9.82,83.71,1
2024,2023,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,3026,1338,355,22,1,64,17,2567,52.12,52.1,0.02,11.73,80.88,1
2025,2024,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,2910,1333,360,43,3,42,0,2462,54.14,54.1,0.04,12.37,81.54,1
2023,2022,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2995,1471,73,33,1,270,36,2582,56.97,57.0,0.03,2.44,80.48,1
2024,2023,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2698,1322,72,22,0,225,44,2335,56.62,56.6,0.02,2.67,80.58,1
2025,2024,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2712,1283,83,21,0,276,0,2332,55.02,55.0,0.02,3.06,79.96,1
2023,2022,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4905,2438,881,47,1,529,7,3440,70.87,70.9,0.03,17.96,92.42,1
2024,2023,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4391,2090,966,38,0,407,10,2970,70.37,70.4,0.03,22.0,88.81,1
2025,2024,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4219,2046,928,55,2,307,0,2927,69.9,69.9,0.0,22.0,91.67,1
