기준연도,분석그룹,평균_충원율,평균_경쟁률,대학수
2023,수도권-국립-대표,99.65,8.57,2
2023,수도권-사립-대표,99.9,11.64,3
2023,수도권-사립-비교,94.83,7.82,3
2023,지방-국립-대표,97.1,8.73,5
2023,지방-사립-대표,95.48,5.11,5
2023,지방-사립-비교,92.9,5.38,4
2024,수도권-국립-대표,99.65,9.65,2
2024,수도권-사립-대표,99.53,12.51,3
2024,수도권-사립-비교,95.6,7.76,3
2024,지방-국립-대표,97.78,8.28,5
2024,지방-사립-대표,95.72,4.82,5
2024,지방-사립-비교,96.25,5.01,4
2025,수도권-국립-대표,99.6,9.66,2
2025,수도권-사립-대표,100.0,14.24,3
2025,수도권-사립-비교,97.43,7.85,3
2025,지방-국립-대표,98.0,8.81,5
2025,지방-사립-대표,96.36,5.07,5
2025,지방-사립-비교,92.98,4.88,4
