기준연도,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률
2023,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,429,4127,395,92.1,9.62
2024,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,432,3641,399,92.4,8.43
2025,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,459,3268,433,94.3,7.12
2023,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4659.0,5211,63085,5081,97.5,12.11
2024,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5041.0,5578,63943,5468,98.0,11.46
2025,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5269.0,5796,63143,5694,98.2,10.89
2023,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4260.0,4695,29783,4553,97.0,6.34
2024,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4261.0,4657,28729,4545,97.6,6.17
2025,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4452.0,4792,31916,4683,97.7,6.66
2023,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3160,19079,3130,99.1,6.04
2024,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3304,19952,3289,99.5,6.04
2025,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3137,20164,3121,99.5,6.43
2023,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3884.0,4594,44720,4589,99.9,9.73
2024,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3992.0,5066,43809,5042,99.5,8.65
2025,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4142.0,5237,66881,5183,99.0,12.77
2023,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4469,21426,3983,89.1,4.79
2024,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4449,19358,3987,89.6,4.35
2025,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4447,21340,4127,92.8,4.8
2023,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1618.0,1802,8720,1521,84.4,4.84
2024,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1459.0,1744,9850,1658,95.1,5.65
2025,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1424.0,1690,9556,1594,94.3,5.65
2023,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4610,28360,4401,95.5,6.15
2024,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4526,26630,4425,97.8,5.88
2025,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4159.0,4706,27824,4577,97.3,5.91
2023,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3270.0,3708,27210,3610,97.4,7.34
2024,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3777,25609,3682,97.5,6.78
2025,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3750,31104,3733,99.5,8.29
2023,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4291.0,4726,48421,4660,98.6,10.25
2024,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4311.0,4683,39594,4652,99.3,8.45
2025,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4498.0,4910,42275,4847,98.7,8.61
2023,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1733,7214,1682,97.1,4.16
2024,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1708,5687,1606,94.0,3.33
2025,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1792,5870,1696,94.6,3.28
2023,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2148.0,2420,28428,2421,100.0,11.75
2024,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2177.0,2503,30379,2502,100.0,12.14
2025,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2227.0,2650,32708,2641,99.7,12.34
2023,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3233.0,3506,18916,3480,99.3,5.4
2024,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3451.0,3735,26724,3707,99.3,7.16
2025,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3476.0,3763,26268,3743,99.5,6.98
2023,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3335.0,4180,69887,4189,100.2,16.72
2024,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3447.0,4409,83812,4378,99.3,19.01
2025,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,4631,90160,4609,99.5,19.47
2023,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3471.0,4218,35772,4200,99.6,8.48
2024,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3495.0,4381,43273,4372,99.8,9.88
2025,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,4476,46910,4541,101.5,10.48
2023,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1477,6016,1320,89.4,4.07
2024,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1508,5150,1392,92.3,3.42
2025,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1294.0,1907,5502,1444,75.7,2.89
2023,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2727.0,2978,13186,2877,96.6,4.43
2024,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2657.0,2709,12212,2648,97.7,4.51
2025,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2737.0,2782,13766,2714,97.6,4.95
2023,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,325.0,362,2830,362,100.0,7.82
2024,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,374,2364,374,100.0,6.32
2025,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,461,2823,461,100.0,6.12
2023,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3584.0,4053,30829,3851,95.0,7.61
2024,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3652.0,4093,34868,3950,96.5,8.52
2025,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3778.0,4267,40941,4091,95.9,9.59
2023,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,859,5897,859,100.0,6.86
2024,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,851,6556,852,100.1,7.7
2025,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,833.0,914,7661,907,99.2,8.38
2023,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2988,14254,2923,97.8,4.77
2024,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,3028,14058,2954,97.6,4.64
2025,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2932,14320,2988,101.9,4.88
2023,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1153,8062,1065,92.4,6.99
2024,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1137,8138,1072,94.3,7.16
2025,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1092,8799,1079,98.8,8.06
