대학명,수도권/지방,설립구분,대표/비교,분석그룹,평균_충원율,최소_충원율,최대_충원율,평균_경쟁률
연세대학교,수도권,사립,대표대학,수도권-사립-대표,100.3,99.6,101.5,9.61
창신대학교,지방,사립,비교대학,지방-사립-비교,100.0,100.0,100.0,6.75
서울과학기술대학교,수도권,국립,대표대학,수도권-국립-대표,99.9,99.7,100.0,12.08
평택대학교,수도권,사립,비교대학,수도권-사립-비교,99.77,99.2,100.1,7.65
성균관대학교,수도권,사립,대표대학,수도권-사립-대표,99.67,99.3,100.2,18.4
고려대학교,수도권,사립,대표대학,수도권-사립-대표,99.47,99.0,99.9,10.38
경성대학교,지방,사립,대표대학,지방-사립-대표,99.37,99.1,99.5,6.17
서울대학교,수도권,국립대법인,대표대학,수도권-국립-대표,99.37,99.3,99.5,6.51
한남대학교,지방,사립,비교대학,지방-사립-비교,99.1,97.6,101.9,4.76
부산대학교,지방,국립,대표대학,지방-국립-대표,98.87,98.6,99.3,9.1
부경대학교,지방,국립,대표대학,지방-국립-대표,98.13,97.4,99.5,7.47
경북대학교,지방,국립,대표대학,지방-국립-대표,97.9,97.5,98.2,11.49
경상국립대학교,지방,국립,대표대학,지방-국립-대표,97.43,97.0,97.7,6.39
울산대학교,지방,사립,대표대학,지방-사립-대표,97.3,96.6,97.7,4.63
동아대학교,지방,사립,대표대학,지방-사립-대표,96.87,95.5,97.8,5.98
충남대학교,지방,국립,대표대학,지방-국립-대표,95.8,95.0,96.5,8.57
부산외국어대학교,지방,사립,대표대학,지방-사립-대표,95.23,94.0,97.1,3.59
협성대학교,수도권,사립,비교대학,수도권-사립-비교,95.17,92.4,98.8,7.4
강서대학교,수도권,사립,비교대학,수도권-사립-비교,92.93,92.1,94.3,8.39
동명대학교,지방,사립,비교대학,지방-사립-비교,91.27,84.4,95.1,5.38
대구대학교,지방,사립,대표대학,지방-사립-대표,90.5,89.1,92.8,4.65
영산대학교,지방,사립,비교대학,지방-사립-비교,85.8,75.7,92.3,3.46
