기준연도,공시연도,자료연도,취업성과_자료시차,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률,졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,제외인정자,취업률_계산분모,취업률(%),취업률_원자료_평균,진학률(%),유지취업률_평균,졸업자_대비_취업자비율,졸업자_대비_진학자비율
2023,2023,2022,1,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277,278,3814,278,100.0,13.7,318,203,13,1,0,0,14,290,70.0,70.0,4.09,80.73,63.84,4.09
2024,2024,2023,1,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277,277,3323,278,100.4,12.0,251,142,16,3,0,0,9,223,63.68,63.7,6.37,82.64,56.57,6.37
2025,2025,2024,1,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277,277,2871,277,100.0,10.4,235,141,12,0,0,0,10,213,66.2,66.2,5.11,85.22,60.0,5.11
2023,2023,2022,1,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4659,4679,60079,4676,99.9,12.8,5295,2740,566,46,5,149,23,4506,60.81,60.8,10.69,89.52,51.75,10.69
2024,2024,2023,1,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5041,5052,59830,5048,99.9,11.8,4738,2411,574,34,2,97,19,4012,60.09,60.1,12.11,86.48,50.89,12.11
2025,2025,2024,1,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5269,5227,59187,5221,99.9,11.3,4783,2255,689,69,1,122,2,3900,57.82,57.8,14.41,88.38,47.15,14.41
2023,2023,2022,1,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4260,4293,28305,4279,99.7,6.6,3270,1538,321,26,0,34,23,2866,53.66,53.7,9.82,83.71,47.03,9.82
2024,2024,2023,1,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4261,4271,27298,4271,100.0,6.4,3026,1338,355,22,1,64,17,2567,52.12,52.1,11.73,80.88,44.22,11.73
2025,2025,2024,1,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4452,4402,30369,4400,100.0,6.9,2910,1333,360,43,3,42,0,2462,54.14,54.1,12.37,81.54,45.81,12.37
2023,2023,2022,1,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765,2782,17657,2762,99.3,6.3,2995,1471,73,33,1,270,36,2582,56.97,57.0,2.44,80.48,49.12,2.44
2024,2024,2023,1,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765,2769,18054,2763,99.8,6.5,2698,1322,72,22,0,225,44,2335,56.62,56.6,2.67,80.58,49.0,2.67
2025,2025,2024,1,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765,2768,17921,2761,99.7,6.5,2712,1283,83,21,0,276,0,2332,55.02,55.0,3.06,79.96,47.31,3.06
2023,2023,2022,1,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3884,3879,40266,3873,99.8,10.4,4905,2438,881,47,1,529,7,3440,70.87,70.9,17.96,92.42,49.7,17.96
2024,2024,2023,1,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3992,4000,39032,3987,99.7,9.8,4391,2090,966,38,0,407,10,2970,70.37,70.4,22.0,88.81,47.6,22.0
2025,2025,2024,1,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4142,4148,61159,4104,98.9,14.7,4219,2046,928,55,2,307,0,2927,69.9,69.9,22.0,91.67,48.49,22.0
2023,2023,2022,1,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850,3822,20002,3680,96.3,5.2,4033,2228,143,28,1,57,46,3758,59.29,59.3,3.55,79.89,55.24,3.55
2024,2024,2023,1,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850,3834,18143,3709,96.7,4.7,3857,1918,146,23,1,104,32,3551,54.01,54.0,3.79,79.02,49.73,3.79
