기준연도,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률,18세_인구,18세인구_대비_모집인원비율,18세인구_대비_입학자비율
2023,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,429,4127,395,92.1,9.62,73683,0.582,0.536
2024,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,432,3641,399,92.4,8.43,71639,0.603,0.557
2025,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,459,3268,433,94.3,7.12,73267,0.626,0.591
2023,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4659.0,5211,63085,5081,97.5,12.11,20922,24.907,24.285
2024,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5041.0,5578,63943,5468,98.0,11.46,20310,27.464,26.923
2025,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5269.0,5796,63143,5694,98.2,10.89,20845,27.805,27.316
2023,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4260.0,4695,29783,4553,97.0,6.34,29193,16.083,15.596
2024,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4261.0,4657,28729,4545,97.6,6.17,28588,16.29,15.898
2025,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4452.0,4792,31916,4683,97.7,6.66,30170,15.883,15.522
2023,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3160,19079,3130,99.1,6.04,25127,12.576,12.457
2024,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3304,19952,3289,99.5,6.04,24248,13.626,13.564
2025,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3137,20164,3121,99.5,6.43,24974,12.561,12.497
2023,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3884.0,4594,44720,4589,99.9,9.73,73683,6.235,6.228
2024,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3992.0,5066,43809,5042,99.5,8.65,71639,7.072,7.038
2025,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4142.0,5237,66881,5183,99.0,12.77,73267,7.148,7.074
2023,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4469,21426,3983,89.1,4.79,21832,20.47,18.244
2024,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4449,19358,3987,89.6,4.35,21445,20.746,18.592
2025,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4447,21340,4127,92.8,4.8,21662,20.529,19.052
2023,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1618.0,1802,8720,1521,84.4,4.84,25127,7.172,6.053
2024,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1459.0,1744,9850,1658,95.1,5.65,24248,7.192,6.838
2025,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1424.0,1690,9556,1594,94.3,5.65,24974,6.767,6.383
2023,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4610,28360,4401,95.5,6.15,25127,18.347,17.515
2024,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4526,26630,4425,97.8,5.88,24248,18.665,18.249
2025,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4159.0,4706,27824,4577,97.3,5.91,24974,18.844,18.327
2023,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3270.0,3708,27210,3610,97.4,7.34,25127,14.757,14.367
2024,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3777,25609,3682,97.5,6.78,24248,15.577,15.185
2025,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3750,31104,3733,99.5,8.29,24974,15.016,14.948
2023,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4291.0,4726,48421,4660,98.6,10.25,25127,18.808,18.546
2024,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4311.0,4683,39594,4652,99.3,8.45,24248,19.313,19.185
2025,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4498.0,4910,42275,4847,98.7,8.61,24974,19.66,19.408
2023,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1733,7214,1682,97.1,4.16,25127,6.897,6.694
2024,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1708,5687,1606,94.0,3.33,24248,7.044,6.623
2025,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1792,5870,1696,94.6,3.28,24974,7.175,6.791
2023,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2148.0,2420,28428,2421,100.0,11.75,73683,3.284,3.286
2024,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2177.0,2503,30379,2502,100.0,12.14,71639,3.494,3.493
2025,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2227.0,2650,32708,2641,99.7,12.34,73267,3.617,3.605
2023,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3233.0,3506,18916,3480,99.3,5.4,73683,4.758,4.723
2024,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3451.0,3735,26724,3707,99.3,7.16,71639,5.214,5.175
2025,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3476.0,3763,26268,3743,99.5,6.98,73267,5.136,5.109
2023,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3335.0,4180,69887,4189,100.2,16.72,73683,5.673,5.685
2024,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3447.0,4409,83812,4378,99.3,19.01,71639,6.154,6.111
2025,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,4631,90160,4609,99.5,19.47,73267,6.321,6.291
2023,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3471.0,4218,35772,4200,99.6,8.48,73683,5.725,5.7
2024,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3495.0,4381,43273,4372,99.8,9.88,71639,6.115,6.103
2025,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,4476,46910,4541,101.5,10.48,73267,6.109,6.198
2023,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1477,6016,1320,89.4,4.07,29193,5.059,4.522
2024,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1508,5150,1392,92.3,3.42,28588,5.275,4.869
2025,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1294.0,1907,5502,1444,75.7,2.89,30170,6.321,4.786
2023,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2727.0,2978,13186,2877,96.6,4.43,10055,29.617,28.613
2024,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2657.0,2709,12212,2648,97.7,4.51,9923,27.3,26.685
2025,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2737.0,2782,13766,2714,97.6,4.95,10446,26.632,25.981
2023,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,325.0,362,2830,362,100.0,7.82,29193,1.24,1.24
2024,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,374,2364,374,100.0,6.32,28588,1.308,1.308
2025,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,461,2823,461,100.0,6.12,30170,1.528,1.528
2023,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3584.0,4053,30829,3851,95.0,7.61,14232,28.478,27.059
2024,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3652.0,4093,34868,3950,96.5,8.52,13605,30.085,29.033
2025,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3778.0,4267,40941,4091,95.9,9.59,13942,30.605,29.343
2023,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,859,5897,859,100.0,6.86,122645,0.7,0.7
2024,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,851,6556,852,100.1,7.7,120947,0.704,0.704
2025,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,833.0,914,7661,907,99.2,8.38,129574,0.705,0.7
2023,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2988,14254,2923,97.8,4.77,14232,20.995,20.538
2024,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,3028,14058,2954,97.6,4.64,13605,22.257,21.713
2025,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2932,14320,2988,101.9,4.88,13942,21.03,21.432
2023,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1153,8062,1065,92.4,6.99,122645,0.94,0.868
2024,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1137,8138,1072,94.3,7.16,120947,0.94,0.886
2025,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1092,8799,1079,98.8,8.06,129574,0.843,0.833
