기준연도,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률,18세_인구,18세인구_대비_모집인원비율,18세인구_대비_입학자비율,고등학교_졸업자수,고등학교_진학자수,고등학교_진학률,고등학교졸업자수_대비_모집인원비율,고등학교진학자수_대비_모집인원비율,고등학교진학자수_대비_입학자비율
2023,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,429,4127,395,92.1,9.62,73683,0.582,0.536,71929,42780,59.48,0.596,1.003,0.923
2024,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,432,3641,399,92.4,8.43,71639,0.603,0.557,64487,39500,61.25,0.67,1.094,1.01
2025,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,459,3268,433,94.3,7.12,73267,0.626,0.591,65680,40701,61.97,0.699,1.128,1.064
2023,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4659.0,5211,63085,5081,97.5,12.11,20922,24.907,24.285,20521,15420,75.14,25.393,33.794,32.951
2024,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5041.0,5578,63943,5468,98.0,11.46,20310,27.464,26.923,18886,14400,76.25,29.535,38.736,37.972
2025,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5269.0,5796,63143,5694,98.2,10.89,20845,27.805,27.316,18716,14431,77.11,30.968,40.164,39.457
2023,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4260.0,4695,29783,4553,97.0,6.34,29193,16.083,15.596,28833,23716,82.25,16.283,19.797,19.198
2024,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4261.0,4657,28729,4545,97.6,6.17,28588,16.29,15.898,26555,22014,82.9,17.537,21.155,20.646
2025,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4452.0,4792,31916,4683,97.7,6.66,30170,15.883,15.522,27319,22659,82.94,17.541,21.148,20.667
2023,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3160,19079,3130,99.1,6.04,25127,12.576,12.457,24195,18828,77.82,13.061,16.784,16.624
2024,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3304,19952,3289,99.5,6.04,24248,13.626,13.564,22021,16714,75.9,15.004,19.768,19.678
2025,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,3137,20164,3121,99.5,6.43,24974,12.561,12.497,22178,17029,76.78,14.145,18.422,18.328
2023,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3884.0,4594,44720,4589,99.9,9.73,73683,6.235,6.228,71929,42780,59.48,6.387,10.739,10.727
2024,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3992.0,5066,43809,5042,99.5,8.65,71639,7.072,7.038,64487,39500,61.25,7.856,12.825,12.765
2025,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4142.0,5237,66881,5183,99.0,12.77,73267,7.148,7.074,65680,40701,61.97,7.974,12.867,12.734
2023,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4469,21426,3983,89.1,4.79,21832,20.47,18.244,21152,16340,77.25,21.128,27.35,24.376
2024,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4449,19358,3987,89.6,4.35,21445,20.746,18.592,19795,15673,79.18,22.475,28.386,25.439
2025,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,4447,21340,4127,92.8,4.8,21662,20.529,19.052,19946,15739,78.91,22.295,28.255,26.221
2023,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1618.0,1802,8720,1521,84.4,4.84,25127,7.172,6.053,24195,18828,77.82,7.448,9.571,8.078
2024,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1459.0,1744,9850,1658,95.1,5.65,24248,7.192,6.838,22021,16714,75.9,7.92,10.434,9.92
2025,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1424.0,1690,9556,1594,94.3,5.65,24974,6.767,6.383,22178,17029,76.78,7.62,9.924,9.361
2023,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4610,28360,4401,95.5,6.15,25127,18.347,17.515,24195,18828,77.82,19.054,24.485,23.375
2024,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4526,26630,4425,97.8,5.88,24248,18.665,18.249,22021,16714,75.9,20.553,27.079,26.475
2025,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4159.0,4706,27824,4577,97.3,5.91,24974,18.844,18.327,22178,17029,76.78,21.219,27.635,26.878
2023,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3270.0,3708,27210,3610,97.4,7.34,25127,14.757,14.367,24195,18828,77.82,15.325,19.694,19.174
2024,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3777,25609,3682,97.5,6.78,24248,15.577,15.185,22021,16714,75.9,17.152,22.598,22.029
2025,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3750,31104,3733,99.5,8.29,24974,15.016,14.948,22178,17029,76.78,16.909,22.021,21.921
2023,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4291.0,4726,48421,4660,98.6,10.25,25127,18.808,18.546,24195,18828,77.82,19.533,25.101,24.75
2024,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4311.0,4683,39594,4652,99.3,8.45,24248,19.313,19.185,22021,16714,75.9,21.266,28.018,27.833
2025,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4498.0,4910,42275,4847,98.7,8.61,24974,19.66,19.408,22178,17029,76.78,22.139,28.833,28.463
2023,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1733,7214,1682,97.1,4.16,25127,6.897,6.694,24195,18828,77.82,7.163,9.204,8.934
2024,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1708,5687,1606,94.0,3.33,24248,7.044,6.623,22021,16714,75.9,7.756,10.219,9.609
2025,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1792,5870,1696,94.6,3.28,24974,7.175,6.791,22178,17029,76.78,8.08,10.523,9.959
2023,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2148.0,2420,28428,2421,100.0,11.75,73683,3.284,3.286,71929,42780,59.48,3.364,5.657,5.659
2024,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2177.0,2503,30379,2502,100.0,12.14,71639,3.494,3.493,64487,39500,61.25,3.881,6.337,6.334
2025,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2227.0,2650,32708,2641,99.7,12.34,73267,3.617,3.605,65680,40701,61.97,4.035,6.511,6.489
2023,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3233.0,3506,18916,3480,99.3,5.4,73683,4.758,4.723,71929,42780,59.48,4.874,8.195,8.135
2024,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3451.0,3735,26724,3707,99.3,7.16,71639,5.214,5.175,64487,39500,61.25,5.792,9.456,9.385
2025,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3476.0,3763,26268,3743,99.5,6.98,73267,5.136,5.109,65680,40701,61.97,5.729,9.245,9.196
2023,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3335.0,4180,69887,4189,100.2,16.72,73683,5.673,5.685,71929,42780,59.48,5.811,9.771,9.792
2024,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3447.0,4409,83812,4378,99.3,19.01,71639,6.154,6.111,64487,39500,61.25,6.837,11.162,11.084
2025,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,4631,90160,4609,99.5,19.47,73267,6.321,6.291,65680,40701,61.97,7.051,11.378,11.324
2023,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3471.0,4218,35772,4200,99.6,8.48,73683,5.725,5.7,71929,42780,59.48,5.864,9.86,9.818
