변수_X,변수_Y,상관계수,표본수,분석단위,그룹
고등학교_졸업자수,정원내 신입생 충원율(%),0.0294,6,대학-연도,수도권-국립-대표
고등학교_진학자수,정원내 신입생 충원율(%),0.0123,6,대학-연도,수도권-국립-대표
고등학교_진학률,정원내 신입생 충원율(%),-0.0583,6,대학-연도,수도권-국립-대표
고등학교_졸업자수,경쟁률,-0.1769,6,대학-연도,수도권-국립-대표
고등학교_진학자수,경쟁률,-0.1664,6,대학-연도,수도권-국립-대표
고등학교_진학률,경쟁률,0.1723,6,대학-연도,수도권-국립-대표
고등학교_졸업자수,모집인원,-0.151,6,대학-연도,수도권-국립-대표
고등학교_진학자수,모집인원,-0.1287,6,대학-연도,수도권-국립-대표
고등학교_진학자수,지원자,-0.5127,6,대학-연도,수도권-국립-대표
고등학교졸업자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.8585,6,대학-연도,수도권-국립-대표
고등학교진학자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.8825,6,대학-연도,수도권-국립-대표
고등학교진학자수_대비_입학자비율,정원내 신입생 충원율(%),-0.8793,6,대학-연도,수도권-국립-대표
고등학교_졸업자수,정원내 신입생 충원율(%),0.1331,9,대학-연도,수도권-사립-대표
고등학교_진학자수,정원내 신입생 충원율(%),0.1874,9,대학-연도,수도권-사립-대표
고등학교_진학률,정원내 신입생 충원율(%),-0.01,9,대학-연도,수도권-사립-대표
고등학교_졸업자수,경쟁률,-0.1679,9,대학-연도,수도권-사립-대표
고등학교_진학자수,경쟁률,-0.1211,9,대학-연도,수도권-사립-대표
고등학교_진학률,경쟁률,0.2347,9,대학-연도,수도권-사립-대표
고등학교_졸업자수,모집인원,-0.477,9,대학-연도,수도권-사립-대표
고등학교_진학자수,모집인원,-0.4065,9,대학-연도,수도권-사립-대표
고등학교_진학자수,지원자,-0.2036,9,대학-연도,수도권-사립-대표
고등학교졸업자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.3607,9,대학-연도,수도권-사립-대표
고등학교진학자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.4039,9,대학-연도,수도권-사립-대표
고등학교진학자수_대비_입학자비율,정원내 신입생 충원율(%),-0.3403,9,대학-연도,수도권-사립-대표
고등학교_졸업자수,정원내 신입생 충원율(%),0.6229,9,대학-연도,수도권-사립-비교
