변수_X,변수_Y,상관계수,표본수,분석단위,그룹
고등학교_졸업자수,정원내 신입생 충원율(%),0.1617,66,대학-연도,전체
고등학교_진학자수,정원내 신입생 충원율(%),0.1337,66,대학-연도,전체
고등학교_진학률,정원내 신입생 충원율(%),-0.2337,66,대학-연도,전체
고등학교_졸업자수,경쟁률,0.3975,66,대학-연도,전체
고등학교_진학자수,경쟁률,0.3101,66,대학-연도,전체
고등학교_진학률,경쟁률,-0.6466,66,대학-연도,전체
고등학교_졸업자수,모집인원,-0.3595,66,대학-연도,전체
고등학교_진학자수,모집인원,-0.4042,66,대학-연도,전체
고등학교_진학자수,지원자,-0.0842,66,대학-연도,전체
고등학교졸업자수_대비_모집인원비율,정원내 신입생 충원율(%),0.0881,66,대학-연도,전체
고등학교진학자수_대비_모집인원비율,정원내 신입생 충원율(%),0.1024,66,대학-연도,전체
고등학교진학자수_대비_입학자비율,정원내 신입생 충원율(%),0.1181,66,대학-연도,전체
