변수_X,변수_Y,상관계수,표본수,분석단위,그룹
고등학교_졸업자수,정원내 신입생 충원율(%),-0.0738,24,대학-연도,수도권
고등학교_진학자수,정원내 신입생 충원율(%),-0.0669,24,대학-연도,수도권
고등학교_진학률,정원내 신입생 충원율(%),-0.0423,24,대학-연도,수도권
고등학교_졸업자수,경쟁률,-0.4658,24,대학-연도,수도권
고등학교_진학자수,경쟁률,-0.4595,24,대학-연도,수도권
고등학교_진학률,경쟁률,-0.4194,24,대학-연도,수도권
고등학교_졸업자수,모집인원,-0.5954,24,대학-연도,수도권
고등학교_진학자수,모집인원,-0.5987,24,대학-연도,수도권
고등학교_진학자수,지원자,-0.5387,24,대학-연도,수도권
고등학교졸업자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.1746,24,대학-연도,수도권
고등학교진학자수_대비_모집인원비율,정원내 신입생 충원율(%),-0.1699,24,대학-연도,수도권
고등학교진학자수_대비_입학자비율,정원내 신입생 충원율(%),-0.1613,24,대학-연도,수도권
고등학교_졸업자수,정원내 신입생 충원율(%),-0.2347,42,대학-연도,지방
고등학교_진학자수,정원내 신입생 충원율(%),-0.2376,42,대학-연도,지방
고등학교_진학률,정원내 신입생 충원율(%),-0.1511,42,대학-연도,지방
고등학교_졸업자수,경쟁률,-0.0304,42,대학-연도,지방
고등학교_진학자수,경쟁률,-0.0609,42,대학-연도,지방
고등학교_진학률,경쟁률,-0.2768,42,대학-연도,지방
고등학교_졸업자수,모집인원,-0.2281,42,대학-연도,지방
고등학교_진학자수,모집인원,-0.2614,42,대학-연도,지방
고등학교_진학자수,지원자,-0.1877,42,대학-연도,지방
고등학교졸업자수_대비_모집인원비율,정원내 신입생 충원율(%),0.3307,42,대학-연도,지방
고등학교진학자수_대비_모집인원비율,정원내 신입생 충원율(%),0.3328,42,대학-연도,지방
고등학교진학자수_대비_입학자비율,정원내 신입생 충원율(%),0.3509,42,대학-연도,지방
