기준연도,지역,수도권/지방,고등학교_졸업자수,고등학교_진학자수,고등학교_진학률,인구_18세,평균_충원율,평균_경쟁률,총_모집인원,총_지원자,총_입학자,대학수,고등학교졸업자수_대비_총모집인원비율,고등학교진학자수_대비_총모집인원비율,고등학교진학자수_대비_총입학자비율
2023,경기,수도권,114646,81558,71.14,122645,96.2,6.93,2012,13959,1924,2,1.755,2.467,2.359
2023,경남,지방,28833,23716,82.25,29193,95.47,6.08,6534,38629,6235,3,22.662,27.551,26.29
2023,경북,지방,21152,16340,77.25,21832,89.1,4.79,4469,21426,3983,1,21.128,27.35,24.376
2023,대구,지방,20521,15420,75.14,20922,97.5,12.11,5211,63085,5081,1,25.393,33.794,32.951
2023,대전,지방,13558,10385,76.6,14232,96.4,6.19,7041,45083,6774,2,51.932,67.8,65.229
2023,부산,지방,24195,18828,77.82,25127,95.35,6.46,19739,139004,19004,6,81.583,104.839,100.935
2023,서울,수도권,71929,42780,59.48,73683,98.52,10.28,19347,201850,19274,6,26.897,45.224,45.054
2023,울산,지방,10057,7873,78.28,10055,96.6,4.43,2978,13186,2877,1,29.611,37.825,36.543
2024,경기,수도권,105682,75743,71.67,120947,97.2,7.43,1988,14694,1924,2,1.881,2.625,2.54
2024,경남,지방,26555,22014,82.9,28588,96.63,5.3,6539,36243,6311,3,24.624,29.704,28.668
2024,경북,지방,19795,15673,79.18,21445,89.6,4.35,4449,19358,3987,1,22.475,28.386,25.439
2024,대구,지방,18886,14400,76.25,20310,98.0,11.46,5578,63943,5468,1,29.535,38.736,37.972
2024,대전,지방,12134,9321,76.82,13605,97.05,6.58,7121,48926,6904,2,58.686,76.397,74.069
2024,부산,지방,22021,16714,75.9,24248,97.2,6.02,19742,127322,19312,6,89.651,118.117,115.544
2024,서울,수도권,64487,39500,61.25,71639,98.38,10.88,20526,231638,20400,6,31.83,51.965,51.646
2024,울산,지방,9312,7383,79.28,9923,97.7,4.51,2709,12212,2648,1,29.091,36.692,35.866
2025,경기,수도권,111438,81195,72.86,129574,99.0,8.22,2006,16460,1986,2,1.8,2.471,2.446
2025,경남,지방,27319,22659,82.94,30170,91.13,5.22,7160,40241,6588,3,26.209,31.599,29.075
2025,경북,지방,19946,15739,78.91,21662,92.8,4.8,4447,21340,4127,1,22.295,28.255,26.221
2025,대구,지방,18716,14431,77.11,20845,98.2,10.89,5796,63143,5694,1,30.968,40.164,39.457
2025,대전,지방,12342,9688,78.5,13942,98.9,7.24,7199,55261,7079,2,58.329,74.308,73.07
2025,부산,지방,22178,17029,76.78,24974,97.32,6.36,19985,136793,19568,6,90.112,117.359,114.91
2025,서울,수도권,65680,40701,61.97,73267,98.92,11.53,21216,266195,21150,6,32.302,52.126,51.964
2025,울산,지방,9651,7660,79.37,10446,97.6,4.95,2782,13766,2714,1,28.826,36.319,35.431
