기준연도,지역,고등학교_졸업자수,고등학교_진학자수,고등학교_진학률
2023,강원,12609,9834,77.99
2024,강원,11639,9215,79.17
2025,강원,11422,9061,79.33
2023,경기,114646,81558,71.14
2024,경기,105682,75743,71.67
2025,경기,111438,81195,72.86
2023,경남,28833,23716,82.25
2024,경남,26555,22014,82.9
2025,경남,27319,22659,82.94
2023,경북,21152,16340,77.25
2024,경북,19795,15673,79.18
2025,경북,19946,15739,78.91
2023,광주,14325,11671,81.47
2024,광주,12945,10609,81.95
2025,광주,13232,10813,81.72
2023,대구,20521,15420,75.14
2024,대구,18886,14400,76.25
2025,대구,18716,14431,77.11
2023,대전,13558,10385,76.6
2024,대전,12134,9321,76.82
2025,대전,12342,9688,78.5
2023,부산,24195,18828,77.82
2024,부산,22021,16714,75.9
2025,부산,22178,17029,76.78
2023,서울,71929,42780,59.48
2024,서울,64487,39500,61.25
2025,서울,65680,40701,61.97
2023,세종,3632,2855,78.61
2024,세종,3524,2824,80.14
2025,세종,4054,3312,81.7
2023,울산,10057,7873,78.28
2024,울산,9312,7383,79.28
2025,울산,9651,7660,79.37
2023,인천,24308,18083,74.39
2024,인천,22475,16704,74.32
2025,인천,23165,17267,74.54
2023,전국,429910,313012,72.81
2024,전국,394058,289918,73.57
2025,전국,405271,301324,74.35
2023,전남,15344,12049,78.53
2024,전남,13991,11160,79.77
2025,전남,14335,11670,81.41
2023,전북,16648,12938,77.72
2024,전북,15196,11705,77.03
2025,전북,15203,12015,79.03
2023,제주,5978,4582,76.65
2024,제주,5743,4521,78.72
2025,제주,5942,4637,78.04
2023,충남,18764,14024,74.74
2024,충남,17440,13085,75.03
2025,충남,18259,13806,75.61
2023,충북,13411,10076,75.13
2024,충북,12233,9347,76.41
2025,충북,12389,9641,77.82
