기준연도,지역,18세_인구
2023,강원,12867
2024,강원,12431
2025,강원,12753
2023,경기,122645
2024,경기,120947
2025,경기,129574
2023,경남,29193
2024,경남,28588
2025,경남,30170
2023,경북,21832
2024,경북,21445
2025,경북,21662
2023,광주,14381
2024,광주,14003
2025,광주,14739
2023,대구,20922
2024,대구,20310
2025,대구,20845
2023,대전,14232
2024,대전,13605
2025,대전,13942
2023,부산,25127
2024,부산,24248
2025,부산,24974
2023,서울,73683
2024,서울,71639
2025,서울,73267
2023,세종,3904
2024,세종,4184
2025,세종,4635
2023,울산,10055
2024,울산,9923
2025,울산,10446
2023,인천,25761
2024,인천,25948
2025,인천,27061
2023,전국,446954
2024,전국,437706
2025,전국,456675
2023,전남,15280
2024,전남,14847
2025,전남,15178
2023,전북,16804
2024,전북,16030
2025,전북,16288
2023,제주,6324
2024,제주,6309
2025,제주,6758
2023,충남,19926
2024,충남,19709
2025,충남,20156
2023,충북,14018
2024,충북,13540
2025,충북,14227
