변수_X,변수_Y,상관계수,표본수,분석단위,그룹
18세_인구,정원내 신입생 충원율(%),0.1362,6,대학-연도,수도권-국립-대표
18세_인구,경쟁률,-0.1024,6,대학-연도,수도권-국립-대표
18세_인구,모집인원,-0.0543,6,대학-연도,수도권-국립-대표
18세_인구,지원자,-0.3352,6,대학-연도,수도권-국립-대표
18세_인구,입학자,-0.0538,6,대학-연도,수도권-국립-대표
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),-0.6821,6,대학-연도,수도권-국립-대표
18세인구_대비_입학자비율,정원내 신입생 충원율(%),-0.6786,6,대학-연도,수도권-국립-대표
18세_인구,정원내 신입생 충원율(%),0.1819,9,대학-연도,수도권-사립-대표
18세_인구,경쟁률,-0.0063,9,대학-연도,수도권-사립-대표
18세_인구,모집인원,-0.0376,9,대학-연도,수도권-사립-대표
18세_인구,지원자,0.0004,9,대학-연도,수도권-사립-대표
18세_인구,입학자,-0.0224,9,대학-연도,수도권-사립-대표
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),-0.2854,9,대학-연도,수도권-사립-대표
18세인구_대비_입학자비율,정원내 신입생 충원율(%),-0.1986,9,대학-연도,수도권-사립-대표
18세_인구,정원내 신입생 충원율(%),-0.3132,9,대학-연도,수도권-사립-비교
18세_인구,경쟁률,-0.8767,9,대학-연도,수도권-사립-비교
18세_인구,모집인원,0.9615,9,대학-연도,수도권-사립-비교
18세_인구,지원자,0.9333,9,대학-연도,수도권-사립-비교
18세_인구,입학자,0.9638,9,대학-연도,수도권-사립-비교
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),-0.5357,9,대학-연도,수도권-사립-비교
18세인구_대비_입학자비율,정원내 신입생 충원율(%),-0.5193,9,대학-연도,수도권-사립-비교
18세_인구,정원내 신입생 충원율(%),-0.0721,15,대학-연도,지방-국립-대표
18세_인구,경쟁률,-0.4623,15,대학-연도,지방-국립-대표
18세_인구,모집인원,0.1537,15,대학-연도,지방-국립-대표
18세_인구,지원자,-0.2496,15,대학-연도,지방-국립-대표
18세_인구,입학자,0.1519,15,대학-연도,지방-국립-대표
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),0.2328,15,대학-연도,지방-국립-대표
18세인구_대비_입학자비율,정원내 신입생 충원율(%),0.2361,15,대학-연도,지방-국립-대표
18세_인구,정원내 신입생 충원율(%),0.0229,15,대학-연도,지방-사립-대표
18세_인구,경쟁률,0.2952,15,대학-연도,지방-사립-대표
18세_인구,모집인원,0.0892,15,대학-연도,지방-사립-대표
18세_인구,지원자,0.2462,15,대학-연도,지방-사립-대표
18세_인구,입학자,0.0913,15,대학-연도,지방-사립-대표
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),-0.1308,15,대학-연도,지방-사립-대표
18세인구_대비_입학자비율,정원내 신입생 충원율(%),-0.1026,15,대학-연도,지방-사립-대표
18세_인구,정원내 신입생 충원율(%),-0.2595,12,대학-연도,지방-사립-비교
18세_인구,경쟁률,0.1942,12,대학-연도,지방-사립-비교
18세_인구,모집인원,-0.9057,12,대학-연도,지방-사립-비교
18세_인구,지원자,-0.9508,12,대학-연도,지방-사립-비교
18세_인구,입학자,-0.9212,12,대학-연도,지방-사립-비교
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),0.2119,12,대학-연도,지방-사립-비교
18세인구_대비_입학자비율,정원내 신입생 충원율(%),0.2445,12,대학-연도,지방-사립-비교
