변수_X,변수_Y,상관계수,표본수,분석단위,그룹
18세_인구,정원내 신입생 충원율(%),-0.0489,24,대학-연도,수도권
18세_인구,경쟁률,-0.4514,24,대학-연도,수도권
18세_인구,모집인원,-0.5981,24,대학-연도,수도권
18세_인구,지원자,-0.5335,24,대학-연도,수도권
18세_인구,입학자,-0.5987,24,대학-연도,수도권
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),-0.1733,24,대학-연도,수도권
18세인구_대비_입학자비율,정원내 신입생 충원율(%),-0.1644,24,대학-연도,수도권
18세_인구,정원내 신입생 충원율(%),-0.1923,42,대학-연도,지방
18세_인구,경쟁률,-0.0318,42,대학-연도,지방
18세_인구,모집인원,-0.2247,42,대학-연도,지방
18세_인구,지원자,-0.1477,42,대학-연도,지방
18세_인구,입학자,-0.2277,42,대학-연도,지방
18세인구_대비_모집인원비율,정원내 신입생 충원율(%),0.3197,42,대학-연도,지방
18세인구_대비_입학자비율,정원내 신입생 충원율(%),0.3392,42,대학-연도,지방
