기준연도,지역,수도권/지방,인구_18세,평균_충원율,평균_경쟁률,총_모집인원,총_지원자,총_입학자,대학수,18세인구_대비_총모집인원비율,18세인구_대비_총입학자비율
2023,경기,수도권,122645,96.2,6.93,2012,13959,1924,2,1.641,1.569
2023,경남,지방,29193,95.47,6.08,6534,38629,6235,3,22.382,21.358
2023,경북,지방,21832,89.1,4.79,4469,21426,3983,1,20.47,18.244
2023,대구,지방,20922,97.5,12.11,5211,63085,5081,1,24.907,24.285
2023,대전,지방,14232,96.4,6.19,7041,45083,6774,2,49.473,47.597
2023,부산,지방,25127,95.35,6.46,19739,139004,19004,6,78.557,75.632
2023,서울,수도권,73683,98.52,10.28,19347,201850,19274,6,26.257,26.158
2023,울산,지방,10055,96.6,4.43,2978,13186,2877,1,29.617,28.613
2024,경기,수도권,120947,97.2,7.43,1988,14694,1924,2,1.644,1.591
2024,경남,지방,28588,96.63,5.3,6539,36243,6311,3,22.873,22.076
2024,경북,지방,21445,89.6,4.35,4449,19358,3987,1,20.746,18.592
2024,대구,지방,20310,98.0,11.46,5578,63943,5468,1,27.464,26.923
2024,대전,지방,13605,97.05,6.58,7121,48926,6904,2,52.341,50.746
2024,부산,지방,24248,97.2,6.02,19742,127322,19312,6,81.417,79.644
2024,서울,수도권,71639,98.38,10.88,20526,231638,20400,6,28.652,28.476
2024,울산,지방,9923,97.7,4.51,2709,12212,2648,1,27.3,26.685
2025,경기,수도권,129574,99.0,8.22,2006,16460,1986,2,1.548,1.533
2025,경남,지방,30170,91.13,5.22,7160,40241,6588,3,23.732,21.836
2025,경북,지방,21662,92.8,4.8,4447,21340,4127,1,20.529,19.052
2025,대구,지방,20845,98.2,10.89,5796,63143,5694,1,27.805,27.316
2025,대전,지방,13942,98.9,7.24,7199,55261,7079,2,51.635,50.775
2025,부산,지방,24974,97.32,6.36,19985,136793,19568,6,80.023,78.353
2025,서울,수도권,73267,98.92,11.53,21216,266195,21150,6,28.957,28.867
2025,울산,지방,10446,97.6,4.95,2782,13766,2714,1,26.632,25.981
