university,avg_fill_rate,std_fill_rate,min_fill_rate,max_fill_rate,avg_competition_rate,std_competition_rate,avg_employment_rate,std_employment_rate,avg_advancement_rate,std_advancement_rate,region,foundation_type,metro_local,representative_group,analysis_group,fill_score,competition_score,employment_score,stability_score,strategy_score,strategy_rank,fill_rate_rank,competition_rank,employment_rank,strategy_type,strategy_insight
성균관대학교,99.66666666666667,0.4725815626252642,99.3,100.2,18.400000000000002,1.4729901561110301,71.54666666666667,3.1731582584758318,18.066666666666666,3.9736926571305595,서울,사립,수도권,대표대학,수도권-사립-대표,0.9563218390804603,1.0,1.0,0.9466986908679711,0.9745335392623798,1,5,1,1,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.
서울과학기술대학교,99.89999999999999,0.17320508075688815,99.7,100.0,12.076666666666668,0.3000555504124752,64.94666666666667,3.483523120826579,10.56,2.478124290668247,서울,국립,수도권,대표대학,수도권-국립-대표,0.9724137931034479,0.5767514502454262,0.7049620026821638,0.9804646260396293,0.8212154742451129,2,3,2,3,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.
고려대학교,99.46666666666665,0.4509249752822922,99.0,99.9,10.383333333333333,2.1362896183180147,65.38,1.9504102132628356,22.77333333333333,2.321816817350873,서울,사립,수도권,대표대학,수도권-사립-대표,0.9425287356321832,0.46340919232485484,0.7243331843242435,0.9491412839524328,0.7801016217918006,3,6,4,2,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.
연세대학교,100.3,1.04403065089106,99.6,101.5,9.613333333333335,1.0263202878893776,64.52333333333333,3.000538840497369,22.653333333333336,3.4289988820840023,서울,사립,수도권,대표대학,수도권-사립-대표,1.0,0.41186970102632753,0.6860378483087465,0.8822463573116919,0.772511948515085,4,1,5,4,입시 수요 강세형,경쟁률과 충원율이 비교적 높아 입시 수요가 확인되는 유형이다. 지원자 관심을 실제 등록으로 연결하는 등록 유도 전략이 중요하다.
부산대학교,98.86666666666667,0.3785938897200197,98.6,99.3,9.103333333333333,0.9962596716385413,59.923333333333325,2.6932570121199575,14.506666666666668,3.7055948690235065,부산,국립,지방,대표대학,지방-국립-대표,0.9011494252873571,0.3777331548415885,0.48040530472358767,0.9572993287352061,0.6945690190803384,5,10,6,8,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.
서울대학교,99.36666666666667,0.11547005383792884,99.3,99.5,6.513333333333333,0.9683663218706717,62.61333333333334,4.135520926477503,33.013333333333335,2.41913896527945,서울,국립대법인,수도권,대표대학,수도권-국립-대표,0.9356321839080467,0.20437304774654164,0.6006556399940397,0.9869764173597524,0.6935237261026249,6,7,13,5,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.
경북대학교,97.89999999999999,0.3605551275463986,97.5,98.2,11.486666666666666,0.6104370019365899,57.93000000000001,2.1248764669975486,12.683333333333332,2.5786107370701252,대구,국립,지방,대표대학,지방-국립-대표,0.8344827586206892,0.5372601517179829,0.3912978691700196,0.9593338762398402,0.6902677966477514,7,12,3,11,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.
창신대학교,100.0,0.0,100.0,100.0,6.753333333333334,0.929157324317757,57.693333333333335,4.497836516963833,2.4133333333333336,0.9298028464859274,경남,사립,지방,비교대학,지방-사립-비교,0.9793103448275864,0.22043730477465417,0.3807182238116525,1.0,0.6729771088870287,8,2,12,12,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.
평택대학교,99.76666666666667,0.4932882862316212,99.2,100.1,7.646666666666667,0.7614022152143592,52.82333333333333,3.5347748631749294,1.4100000000000001,0.5076416058598822,경기,사립,수도권,비교대학,수도권-사립-비교,0.9632183908045978,0.28023203926818385,0.1630159439725821,0.9443632305721383,0.6296030395192223,9,4,9,19,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.
한남대학교,99.10000000000001,2.426932219902329,97.6,101.9,4.763333333333333,0.12013880860626723,62.45333333333334,1.802673939827533,5.9799999999999995,1.147649772360889,대전,사립,지방,비교대학,지방-사립-비교,0.9172413793103457,0.08723784024988837,0.5935032036954256,0.7262722993743396,0.6163474974318465,10,9,18,6,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.
충남대학교,95.8,0.7549834435270756,95.0,96.5,8.573333333333332,0.9910768554119979,62.18000000000001,2.702054773686131,13.853333333333333,2.883059717267982,대전,국립,지방,대표대학,지방-국립-대표,0.6896551724137931,0.34225792057117344,0.5812844583519597,0.914847279082468,0.6149105326410728,11,16,7,7,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.
부경대학교,98.13333333333333,1.1846237095944536,97.4,99.5,7.47,0.7633478892353074,56.74,0.8150460109711569,9.046666666666667,1.5559670090761348,부산,국립,지방,대표대학,지방-국립-대표,0.8505747126436778,0.26840696117804547,0.33810162419907613,0.8663892129022953,0.6049103321271421,12,11,10,14,입시 수요 강세형,경쟁률과 충원율이 비교적 높아 입시 수요가 확인되는 유형이다. 지원자 관심을 실제 등록으로 연결하는 등록 유도 전략이 중요하다.
경성대학교,99.36666666666667,0.23094010767585463,99.1,99.5,6.169999999999999,0.22516660498395386,49.17666666666667,1.6241100126941346,2.1866666666666665,0.9415589908940031,부산,사립,지방,대표대학,지방-사립-대표,0.9356321839080467,0.18139223560910298,0.0,0.9739528347195052,0.5656938576734202,13,7,15,22,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.
