university,avg_fill_rate,std_fill_rate,min_fill_rate,max_fill_rate,avg_competition_rate,std_competition_rate,avg_employment_rate,std_employment_rate,avg_advancement_rate,std_advancement_rate,avg_admission_quota,avg_recruitment_quota,avg_applicants,avg_entrants,region,foundation_type,metro_local,representative_group,analysis_group,strategy_score,strategy_rank,strategy_type,strategy_insight,fill_score,competition_score,employment_score,stability_score
연세대학교,100.3,1.04403065089106,99.6,101.5,9.613333333333335,1.0263202878893776,69.91,2.316052676430308,20.0,2.3928852876809628,3507.0,4358.333333333333,41985.0,4371.0,서울,사립,수도권,대표대학,수도권-사립-대표,0.796736885740388,4,입시 수요 강세형,경쟁률과 충원율이 비교적 높아 입시 수요가 확인되는 유형이다. 지원자 관심을 실제 등록으로 연결하는 등록 유도 전략이 중요하다.,1.0,0.4118697010263275,0.8071625344352616,0.8822463573116919
창신대학교,100.0,0.0,100.0,100.0,6.753333333333334,0.929157324317757,70.87,1.4566056432679377,2.1666666666666665,0.2532455988429675,338.3333333333333,399.0,2672.3333333333335,399.0,경남,사립,지방,비교대학,지방-사립-비교,0.7675999525382454,5,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.,0.9793103448275864,0.2204373047746541,0.8538324420677365,1.0
서울과학기술대학교,99.89999999999999,0.17320508075688815,99.7,100.0,12.076666666666668,0.3000555504124752,67.44,3.9346156101962477,10.19,2.016804403009871,2184.0,2524.3333333333335,30505.0,2521.3333333333335,서울,국립,수도권,대표대학,수도권-국립-대표,0.8176400239598549,2,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.,0.972413793103448,0.5767514502454262,0.6870847512558742,0.9804646260396293
평택대학교,99.76666666666667,0.4932882862316212,99.2,100.1,7.646666666666667,0.7614022152143592,61.096666666666664,3.5060281421194186,1.6866666666666668,0.1484362938547488,814.3333333333334,874.6666666666666,6704.666666666667,872.6666666666666,경기,사립,수도권,비교대학,수도권-사립-비교,0.6727412216532426,8,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.,0.9632183908045978,0.2802320392681838,0.3787068546426835,0.9443632305721384
성균관대학교,99.66666666666667,0.4725815626252642,99.3,100.2,18.400000000000002,1.4729901561110301,73.87666666666667,2.5703177494880576,14.943333333333333,2.6629369750959797,3445.6666666666665,4406.666666666667,81286.33333333333,4392.0,서울,사립,수도권,대표대학,수도권-사립-대표,0.9745335392623798,1,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.,0.9563218390804604,1.0,1.0,0.9466986908679712
고려대학교,99.46666666666665,0.4509249752822922,99.0,99.9,10.383333333333333,2.1362896183180147,70.38000000000001,0.48507731342539734,20.653333333333332,2.332495087526088,4006.0,4965.666666666667,51803.333333333336,4938.0,서울,사립,수도권,대표대학,수도권-사립-대표,0.8012372536030176,3,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.,0.9425287356321832,0.4634091923248548,0.8300113433803279,0.9491412839524328
경성대학교,99.36666666666667,0.23094010767585463,99.1,99.5,6.169999999999999,0.22516660498395386,56.20333333333334,1.0396313449167116,2.723333333333333,0.31342197327777366,2765.0,3200.3333333333335,19731.666666666668,3180.0,부산,사립,지방,대표대학,지방-사립-대표,0.5938578505432954,12,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.,0.9356321839080468,0.1813922356091029,0.1408199643493765,0.9739528347195052
서울대학교,99.36666666666667,0.11547005383792884,99.3,99.5,6.513333333333333,0.9683663218706717,69.05333333333333,3.0713894792639542,30.103333333333335,2.0404983051532626,3386.6666666666665,3668.0,23969.333333333332,3643.3333333333335,서울,국립대법인,수도권,대표대학,수도권-국립-대표,0.7264958228647956,6,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.,0.9356321839080468,0.2043730477465416,0.7655161238048936,0.9869764173597524
한남대학교,99.10000000000001,2.426932219902329,97.6,101.9,4.763333333333333,0.12013880860626723,64.33666666666667,2.4303360535805236,5.359999999999999,1.1452947218947613,2715.0,2982.6666666666665,14210.666666666666,2955.0,대전,사립,지방,비교대학,지방-사립-비교,0.6048904152732184,10,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.,0.9172413793103456,0.0872378402498883,0.5362177929022853,0.7262722993743396
부산대학교,98.86666666666667,0.3785938897200197,98.6,99.3,9.103333333333333,0.9962596716385413,59.48333333333333,1.8277946638868754,13.57,2.7364941074301634,4366.666666666667,4773.0,43430.0,4719.666666666667,부산,국립,지방,대표대학,지방-국립-대표,0.6585430545543536,9,충원 안정·수요 강세형,충원율과 경쟁률이 모두 양호하고 변동성도 낮은 유형이다. 현재의 모집 경쟁력을 유지하면서 우수 사례로 관리할 필요가 있다.,0.9011494252873572,0.3777331548415885,0.3002754820936636,0.957299328735206
부경대학교,98.13333333333333,1.1846237095944536,97.4,99.5,7.47,0.7633478892353074,56.803333333333335,0.6505638579980699,8.883333333333333,1.2504932360206242,3315.3333333333335,3745.0,27974.333333333332,3675.0,부산,국립,지방,대표대학,지방-국립-대표,0.5712877386112614,13,입시 수요 강세형,경쟁률과 충원율이 비교적 높아 입시 수요가 확인되는 유형이다. 지원자 관심을 실제 등록으로 연결하는 등록 유도 전략이 중요하다.,0.8505747126436778,0.2684069611780454,0.1699886566196728,0.8663892129022953
경북대학교,97.89999999999999,0.3605551275463986,97.5,98.2,11.486666666666666,0.6104370019365899,59.57333333333333,1.5605234164642774,12.403333333333334,1.8772675177857143,4989.666666666667,5528.333333333333,63390.333333333336,5414.333333333333,대구,국립,지방,대표대학,지방-국립-대표,0.6729383800005891,7,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.,0.8344827586206892,0.5372601517179829,0.3046507859342083,0.9593338762398402
경상국립대학교,97.43333333333334,0.37859388972001673,97.0,97.7,6.390000000000001,0.2487971060924948,53.306666666666665,1.055335649607904,11.306666666666667,1.3266624790553672,4324.333333333333,4714.666666666667,30142.666666666668,4593.666666666667,경남,국립,지방,대표대학,지방-국립-대표,0.5135438906780511,17,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다.",0.8022988505747131,0.1961178045515395,0.0,0.9572993287352064
울산대학교,97.3,0.6082762530298207,96.6,97.7,4.63,0.28000000000000025,58.51333333333334,2.0288995375161716,5.783333333333334,0.47035447625523163,2707.0,2823.0,13054.666666666666,2746.3333333333335,울산,사립,지방,대표대학,지방-사립-대표,0.5271526816824126,16,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다.",0.7931034482758621,0.0783132530120481,0.2531194295900184,0.9313940213403464
동아대학교,96.86666666666667,1.2096831541082633,95.5,97.8,5.98,0.14798648586948793,58.846666666666664,1.2983964469041527,5.333333333333333,0.3172275734127369,4091.6666666666665,4614.0,27604.666666666668,4467.666666666667,부산,사립,지방,대표대학,지방-사립-대표,0.5308553057387208,15,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다.",0.7632183908045984,0.1686746987951807,0.2693242586290714,0.8635628199484792
충남대학교,95.8,0.7549834435270756,95.0,96.5,8.573333333333332,0.9910768554119979,63.449999999999996,2.140116819241422,13.376666666666665,3.0822124088604492,3671.3333333333335,4137.666666666667,35546.0,3964.0,대전,국립,지방,대표대학,지방-국립-대표,0.5972762305023612,11,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.,0.6896551724137931,0.3422579205711734,0.4931129476584021,0.914847279082468
