year,university,region,foundation_type,metro_local,representative_group,analysis_group,admission_quota,recruitment_quota,applicants,entrants,fill_rate,competition_rate,graduates,employed,advanced,employment_rate,advancement_rate,applicants_per_recruitment,entrants_per_recruitment
2023,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,278.0,3814.0,278.0,100.0,13.7,318.0,203.0,13.0,70.0,4.09,13.719424460431656,1.0
2024,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,277.0,3323.0,278.0,100.4,12.0,251.0,142.0,16.0,63.68,6.37,11.99638989169675,1.0036101083032491
2025,강서대학교,서울,사립,수도권,비교대학,수도권-사립-비교,277.0,277.0,2871.0,277.0,100.0,10.4,235.0,141.0,12.0,66.2,5.11,10.364620938628159,1.0
2023,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,4659.0,4679.0,60079.0,4676.0,99.9,12.8,5295.0,2740.0,566.0,60.81,10.69,12.840136781363539,0.9993588373584099
2024,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5041.0,5052.0,59830.0,5048.0,99.9,11.8,4738.0,2411.0,574.0,60.09,12.11,11.84283452098179,0.9992082343626286
2025,경북대학교,대구,국립,지방,대표대학,지방-국립-대표,5269.0,5227.0,59187.0,5221.0,99.9,11.3,4783.0,2255.0,689.0,57.82,14.41,11.323321216759135,0.9988521140233404
2023,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4260.0,4293.0,28305.0,4279.0,99.7,6.6,3270.0,1538.0,321.0,53.66,9.82,6.59329140461216,0.9967388772420219
2024,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4261.0,4271.0,27298.0,4271.0,100.0,6.4,3026.0,1338.0,355.0,52.12,11.73,6.391477405759775,1.0
2025,경상국립대학교,경남,국립,지방,대표대학,지방-국립-대표,4452.0,4402.0,30369.0,4400.0,100.0,6.9,2910.0,1333.0,360.0,54.14,12.37,6.898909586551567,0.9995456610631531
2023,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,2782.0,17657.0,2762.0,99.3,6.3,2995.0,1471.0,73.0,56.97,2.44,6.346872753414809,0.9928109273903667
2024,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,2769.0,18054.0,2763.0,99.8,6.5,2698.0,1322.0,72.0,56.62,2.67,6.520043336944745,0.9978331527627302
2025,경성대학교,부산,사립,지방,대표대학,지방-사립-대표,2765.0,2768.0,17921.0,2761.0,99.7,6.5,2712.0,1283.0,83.0,55.02,3.06,6.474349710982659,0.997471098265896
2023,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3884.0,3879.0,40266.0,3873.0,99.8,10.4,4905.0,2438.0,881.0,70.87,17.96,10.380510440835266,0.9984532095901005
2024,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3992.0,4000.0,39032.0,3987.0,99.7,9.8,4391.0,2090.0,966.0,70.37,22.0,9.758,0.99675
2025,고려대학교,서울,사립,수도권,대표대학,수도권-사립-대표,4142.0,4148.0,61159.0,4104.0,98.9,14.7,4219.0,2046.0,928.0,69.9,22.0,14.744214079074252,0.9893924783027965
2023,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,3822.0,20002.0,3680.0,96.3,5.2,4033.0,2228.0,143.0,59.29,3.55,5.23338566195709,0.9628466771323915
2024,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,3834.0,18143.0,3709.0,96.7,4.7,3857.0,1918.0,146.0,54.01,3.79,4.732133541992697,0.967396974439228
2025,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3850.0,3822.0,20420.0,3814.0,99.8,5.3,3771.0,1871.0,134.0,55.34,3.55,5.342752485609629,0.9979068550497122
2023,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1618.0,1627.0,8263.0,1416.0,87.0,5.1,1727.0,1045.0,25.0,65.39,1.45,5.078672403196066,0.8703134603564844
2024,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1459.0,1466.0,8744.0,1441.0,98.3,6.0,1637.0,894.0,23.0,61.19,1.41,5.964529331514325,0.9829467939972715
2025,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1424.0,1424.0,8248.0,1383.0,97.1,5.8,1729.0,940.0,25.0,61.92,1.45,5.792134831460674,0.9712078651685393
2023,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4081.0,26430.0,4075.0,99.9,6.5,4264.0,2329.0,215.0,59.13,5.04,6.476353834844401,0.9985297721146777
2024,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4058.0,4062.0,25225.0,4048.0,99.7,6.2,4178.0,2304.0,221.0,59.98,5.29,6.209995076317085,0.9965534219596258
2025,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4159.0,4164.0,26357.0,4159.0,99.9,6.3,4183.0,2203.0,237.0,57.43,5.67,6.329731027857829,0.9987992315081652
2023,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3270.0,3274.0,25625.0,3258.0,99.5,7.8,3870.0,1940.0,292.0,57.52,7.55,7.826817348808796,0.9951130116065975
2024,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3303.0,24002.0,3295.0,99.8,7.3,3451.0,1676.0,313.0,56.64,9.07,7.266727217680896,0.9975779594308205
2025,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3338.0,3304.0,29380.0,3303.0,100.0,8.9,3461.0,1656.0,347.0,56.25,10.03,8.892251815980629,0.9996973365617433
2023,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4291.0,4299.0,46156.0,4292.0,99.8,10.7,4832.0,2505.0,555.0,61.1,11.49,10.73645033728774,0.998371714352175
2024,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4311.0,4323.0,37391.0,4312.0,99.7,8.6,4278.0,2136.0,537.0,59.85,12.55,8.649317603516076,0.9974554707379135
2025,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4498.0,4468.0,40012.0,4457.0,99.8,9.0,4176.0,1912.0,696.0,57.5,16.67,8.955237242614144,0.997538048343778
2023,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1508.0,6659.0,1503.0,99.7,4.4,1775.0,930.0,22.0,60.12,1.24,4.415782493368701,0.996684350132626
2024,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1501.0,5303.0,1484.0,98.9,3.5,1546.0,805.0,32.0,58.76,2.07,3.532978014656895,0.988674217188541
2025,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1471.0,5320.0,1472.0,100.1,3.6,1531.0,766.0,30.0,57.12,1.96,3.6165873555404486,1.0006798096532972
